2015,1,1,4,"DL",2440,"N651DL","SEA","MSP",40,39,-1,28,107,189,198,166,1399,553,4,549,557,8,0,0,,,,,,
2015,1,1,4,"AS",108,"N309AS","ANC","SEA",45,41,-4,17,58,204,194,173,1448,451,4,509,455,-14,0,0,,,,,,
2015,1,1,4,"DL",1560,"N3743H","ANC","SEA",45,31,-14,25,56,210,200,171,1448,447,4,515,451,-24,0,0,,,,,,
2015,1,1,4,"UA",1197,"N78448","SFO","IAH",48,42,-6,11,53,218,217,199,1635,612,7,626,619,-7,0,0,,,,,,
2015,1,1,4,"AS",122,"N413AS","ANC","PDX",50,46,-4,11,57,215,201,187,1542,504,3,525,507,-18,0,0,,,,,,
2015,1,1,4,"DL",1670,"N806DN","PDX","MSP",50,45,-5,9,54,193,186,171,1426,545,6,603,551,-12,0,0,,,,,,
2015,1,1,4,"NK",520,"N525NK","LAS","MCI",55,120,25,11,131,162,143,128,1139,539,4,537,543,6,0,0,,,,,,
2015,1,1,4,"AA",371,"N3GXAA","SEA","MIA",100,52,-8,30,122,338,347,311,2724,933,6,938,939,1,0,0,,,,,,
2015,1,1,4,"NK",214,"N632NK","LAS","DFW",103,102,-1,13,115,147,147,128,1055,523,6,530,529,-1,0,0,,,,,,
2015,1,1,4,"AA",115,"N3CTAA","LAX","MIA",105,103,-2,14,117,286,276,255,2342,832,7,851,839,-12,0,0,,,,,,
2015,1,1,4,"DL",1450,"N671DN","LAS","MSP",105,102,-3,11,113,183,163,150,1299,543,2,608,545,-23,0,0,,,,,,
2015,1,1,4,"UA",1545,"N76517","LAX","IAH",115,112,-3,11,123,183,175,156,1379,559,8,618,607,-11,0,0,,,,,,
2015,1,1,4,"AS",130,"N457AS","FAI","SEA",115,107,-8,25,132,213,218,186,1533,538,7,548,545,-3,0,0,,,,,,
2015,1,1,4,"NK",597,"N528NK","MSP","FLL",115,127,12,14,141,207,220,166,1487,527,40,542,607,25,0,0,,25,0,0,0,0
2015,1,1,4,"US",413,"N571UW","LAS","CLT",120,110,-10,12,122,245,224,205,1916,747,7,825,754,-31,0,0,,,,,,
2015,1,1,4,"AA",2392,"N3HRAA","DEN","MIA",120,141,21,12,153,227,208,188,1709,701,8,707,709,2,0,0,,,,,,
2015,1,1,4,"NK",168,"N629NK","PHX","ORD",125,237,72,9,246,204,175,156,1440,622,10,549,632,43,0,0,,43,0,0,0,0
2015,1,1,4,"AA",2211,"N3CGAA","PHX","MIA",127,116,-11,10,126,239,234,217,1972,703,7,726,710,-16,0,0,,,,,,
2015,1,1,4,"AS",136,"N431AS","ANC","SEA",135,,,,,205,,,1448,,,600,,,0,1,"A",,,,,
2015,1,1,4,"DL",95,"N320US","SLC","ATL",140,134,-6,43,217,215,231,182,1590,719,6,715,725,10,0,0,,,,,,
2015,1,1,4,"NK",298,"N514NK","LAS","IAH",144,140,-4,10,150,170,170,148,1222,618,12,634,630,-4,0,0,,,,,,
2015,1,1,4,"HA",17,"N389HA","LAS","HNL",145,145,0,16,201,370,385,361,2762,602,8,555,610,15,0,0,,0,0,15,0,0
2015,1,1,4,"US",617,"N804AW","ANC","PHX",152,143,-9,21,204,323,322,298,2552,902,3,915,905,-10,0,0,,,,,,
2015,1,1,4,"UA",1528,"N76519","SJU","EWR",154,157,3,12,209,255,241,220,1608,449,9,509,458,-11,0,0,,,,,,
2015,1,1,4,"AS",134,"N464AS","ANC","SEA",155,140,-15,17,157,218,198,170,1448,547,11,633,558,-35,0,0,,,,,,
2015,1,1,4,"B6",304,"N607JB","SJU","JFK",155,153,-2,12,205,235,248,231,1598,456,5,450,501,11,0,0,,,,,,
2015,1,1,4,"NK",451,"N633NK","PBG","FLL",155,139,-16,10,149,208,191,174,1334,443,7,523,450,-33,0,0,,,,,,
2015,1,1,4,"NK",972,"N606NK","PHX","DFW",159,158,-1,11,209,123,125,103,868,452,11,502,503,1,0,0,,,,,,
2015,1,1,4,"AA",2459,"N3BDAA","PHX","DFW",200,,,,,120,,,868,,,500,,,0,1,"B",,,,,
2015,1,1,4,"AS",144,"N514AS","ANC","PDX",200,150,-10,24,214,210,209,182,1542,616,3,630,619,-11,0,0,,,,,,
2015,1,1,4,"NK",647,"N630NK","IAG","FLL",200,155,-5,21,216,184,178,149,1176,445,8,504,453,-11,0,0,,,,,,
2015,1,1,4,"B6",1990,"N597JB","SJU","EWR",206,152,-14,19,211,246,264,239,1608,510,6,512,516,4,0,0,,,,,,
2015,1,1,4,"US",699,"N172US","PHX","CLT",220,209,-11,10,219,224,199,183,1773,722,6,804,728,-36,0,0,,,,,,
2015,1,1,4,"AS",114,"N303AS","ANC","SEA",220,209,-11,15,224,200,199,176,1448,620,8,640,628,-12,0,0,,,,,,
2015,1,1,4,"B6",668,"N653JB","PSE","MCO",255,248,-7,10,258,185,183,169,1179,447,4,500,451,-9,0,0,,,,,,
2015,1,1,4,"UA",1162,"N37293","BQN","EWR",259,258,-1,14,312,240,247,225,1585,557,8,559,605,6,0,0,,,,,,
2015,1,1,4,"B6",1030,"N239JB","BQN","MCO",307,304,-3,25,329,173,196,160,1129,509,11,500,520,20,0,0,,20,0,0,0,0
2015,1,1,4,"B6",262,"N627JB","SJU","BOS",330,316,-14,14,330,245,243,224,1674,614,5,635,619,-16,0,0,,,,,,
2015,1,1,4,"B6",2134,"N307JB","SJU","MCO",400,535,95,9,544,185,175,163,1189,727,3,605,730,85,0,0,,0,0,85,0,0
2015,1,1,4,"B6",730,"N621JB","BQN","MCO",419,423,4,11,434,174,163,148,1129,602,4,613,606,-7,0,0,,,,,,
2015,1,1,4,"B6",768,"N317JB","PSE","MCO",424,413,-11,24,437,186,196,166,1179,623,6,630,629,-1,0,0,,,,,,
2015,1,1,4,"B6",2276,"N646JB","SJU","BDL",438,550,72,15,605,241,258,237,1666,902,6,739,908,89,0,0,,17,0,72,0,0
2015,1,1,4,"US",602,"N197UW","ORD","PHX",500,459,-1,12,511,228,232,214,1440,745,6,748,751,3,0,0,,,,,,
2015,1,1,4,"AS",695,"N607AS","GEG","SEA",500,456,-4,22,518,70,74,39,224,557,13,610,610,0,0,0,,,,,,
2015,1,1,4,"HA",102,"N492HA","HNL","ITO",500,452,-8,10,502,49,51,35,216,537,6,549,543,-6,0,0,,,,,,
2015,1,1,4,"OO",5467,"N701BR","ONT","SFO",500,513,13,19,532,89,85,61,363,633,5,629,638,9,0,0,,,,,,
2015,1,1,4,"HA",108,"N476HA","HNL","KOA",502,501,-1,12,513,42,48,30,163,543,6,544,549,5,0,0,,,,,,
2015,1,1,4,"AS",730,"N423AS","ANC","SEA",505,457,-8,16,513,205,199,179,1448,912,4,930,916,-14,0,0,,,,,,
2015,1,1,4,"HA",206,"N484HA","HNL","OGG",505,454,-11,10,504,36,36,20,100,524,6,541,530,-11,0,0,,,,,,
2015,1,1,4,"UA",1500,"N30401","ORD","IAH",510,514,4,23,537,175,182,147,925,804,12,805,816,11,0,0,,,,,,
2015,1,1,4,"AA",1323,"N3CXAA","MCO","MIA",510,507,-3,14,521,63,55,38,192,559,3,613,602,-11,0,0,,,,,,
2015,1,1,4,"NK",103,"N616NK","BOS","MYR",510,506,-4,16,522,140,134,112,738,714,6,730,720,-10,0,0,,,,,,
2015,1,1,4,"OO",7404,"N8982A","HIB","MSP",510,500,-10,37,537,68,78,35,174,612,6,618,618,0,0,0,,,,,,
2015,1,1,4,"OO",7419,"N445SW","ABR","MSP",510,508,-2,21,529,69,67,41,257,610,5,619,615,-4,0,0,,,,,,
2015,1,1,4,"OO",5254,"N746SK","MAF","IAH",510,,,,,87,,,429,,,637,,,0,1,"B",,,,,
2015,1,1,4,"US",480,"N676AW","SEA","PHX",515,510,-5,15,525,165,168,146,1107,851,7,900,858,-2,0,0,,,,,,
2015,1,1,4,"AA",1057,"N3ASAA","DFW","MIA",515,703,108,15,718,161,155,133,1121,1031,7,856,1038,102,0,0,,0,0,0,0,102
2015,1,1,4,"AA",2454,"N3ETAA","BOS","MIA",515,510,-5,14,524,208,215,182,1258,826,19,843,845,2,0,0,,,,,,
2015,1,1,4,"EV",4354,"N12142","MKE","IAH",515,517,2,12,529,178,189,163,984,812,14,813,826,13,0,0,,,,,,
2015,1,1,4,"US",425,"N174US","PDX","PHX",520,620,60,13,633,150,150,132,1009,945,5,850,950,60,0,0,,0,0,60,0,0
2015,1,1,4,"AA",89,"N3KVAA","IAH","MIA",520,618,58,19,637,141,137,111,964,928,7,841,935,54,0,0,,0,0,54,0,0
2015,1,1,4,"DL",2099,"N355NW","BNA","DTW",520,511,-9,30,541,103,106,66,456,747,10,803,757,-6,0,0,,,,,,
2015,1,1,4,"EV",4685,"N26545","BRO","IAH",520,517,-3,15,532,74,72,49,308,621,8,634,629,-5,0,0,,,,,,
2015,1,1,4,"EV",5583,"N882AS","VPS","ATL",520,514,-6,9,523,66,57,42,250,705,6,726,711,-15,0,0,,,,,,
2015,1,1,4,"OO",5484,"N824AS","BOI","SFO",520,525,5,24,549,112,110,79,522,608,7,612,615,3,0,0,,,,,,
2015,1,1,4,"OO",7370,"N432SW","BJI","MSP",520,517,-3,31,548,60,72,34,199,622,7,620,629,9,0,0,,,,,,
2015,1,1,4,"HA",103,"N477HA","HNL","LIH",523,513,-10,7,520,37,35,21,102,541,7,600,548,-12,0,0,,,,,,
2015,1,1,4,"EV",5187,"N720EV","BNA","ATL",525,525,0,32,557,65,70,35,214,732,3,730,735,5,0,0,,,,,,
2015,1,1,4,"MQ",2859,"N660MQ","SGF","DFW",525,,,,,95,,,364,,,700,,,0,1,"B",,,,,
2015,1,1,4,"UA",1201,"N79521","PHL","IAH",530,532,2,12,544,230,234,210,1325,814,12,820,826,6,0,0,,,,,,
2015,1,1,4,"UA",1221,"N37281","PDX","DEN",530,534,4,9,543,142,142,125,991,848,8,852,856,4,0,0,,,,,,
2015,1,1,4,"UA",1607,"N36476","SEA","DEN",530,529,-1,10,539,157,157,138,1024,857,9,907,906,-1,0,0,,,,,,
2015,1,1,4,"AA",328,"N4XKAA","DEN","DFW",530,623,53,32,655,125,138,96,641,931,10,835,941,66,0,0,,13,0,53,0,0
2015,1,1,4,"EV",5764,"N832AS","SBN","ORD",530,527,-3,12,539,55,44,22,84,501,10,525,511,-14,0,0,,,,,,
2015,1,1,4,"F9",1279,"N918FR","PHL","MCO",530,526,-4,12,538,160,146,128,861,746,6,810,752,-18,0,0,,,,,,
2015,1,1,4,"NK",409,"N509NK","ORD","FLL",530,526,-4,12,538,188,167,149,1182,907,6,938,913,-25,0,0,,,,,,
2015,1,1,4,"OO",5460,"N583SW","RDD","SFO",530,,,,,90,,,199,,,700,,,0,1,"A",,,,,
2015,1,1,4,"OO",6391,"N593ML","EUG","DEN",530,526,-4,26,552,163,180,143,996,915,11,913,926,13,0,0,,,,,,
2015,1,1,4,"UA",1532,"N77066","SFO","DEN",531,550,19,15,605,146,153,127,967,912,11,857,923,26,0,0,,7,0,19,0,0
2015,1,1,4,"UA",1167,"N66837","ORD","DEN",533,540,7,10,550,167,163,142,888,712,11,720,723,3,0,0,,,,,,
2015,1,1,4,"UA",1012,"N17245","IAD","IAH",535,541,6,12,553,207,215,194,1190,807,9,802,816,14,0,0,,,,,,
2015,1,1,4,"B6",2001,"N358JB","BUF","JFK",535,530,-5,17,547,88,78,56,301,643,5,703,648,-15,0,0,,,,,,
2015,1,1,4,"B6",2807,"N190JB","PWM","JFK",535,528,-7,13,541,85,67,50,273,631,4,700,635,-25,0,0,,,,,,
2015,1,1,4,"B6",2023,"N324JB","JFK","SJU",535,618,43,13,631,225,201,184,1598,1035,4,1020,1039,19,0,0,,0,0,19,0,0
2015,1,1,4,"EV",4557,"N12967","CRP","IAH",535,523,-12,12,535,61,52,33,201,608,7,636,615,-21,0,0,,,,,,
2015,1,1,4,"EV",5241,"N849AS","PIA","DTW",535,530,-5,18,548,88,75,54,346,742,3,803,745,-18,0,0,,,,,,
2015,1,1,4,"EV",5498,"N132EV","ORD","DTW",535,550,15,18,608,85,67,41,235,749,8,800,757,-3,0,0,,,,,,
2015,1,1,4,"OO",6512,"N925SW","FAT","LAX",535,530,-5,33,603,75,80,42,209,645,5,650,650,0,0,0,,,,,,
2015,1,1,4,"UA",1577,"N69813","SMF","DEN",538,634,56,26,700,142,164,129,909,1009,9,900,1018,78,0,0,,22,0,56,0,0
2015,1,1,4,"OO",4986,"N719SK","AUS","LAX",538,535,-3,16,551,212,199,173,1242,644,10,710,654,-16,0,0,,,,,,
2015,1,1,4,"B6",727,"N292JB","BOS","BWI",540,536,-4,14,550,101,84,66,369,656,4,721,700,-21,0,0,,,,,,
2015,1,1,4,"B6",1012,"N375JB","ORD","BOS",540,529,-11,16,545,136,114,95,867,820,3,856,823,-33,0,0,,,,,,
2015,1,1,4,"DL",824,"N3736C","PHX","DTW",540,808,148,19,827,223,203,178,1671,1325,6,1123,1331,128,0,0,,0,0,0,0,128
2015,1,1,4,"DL",941,"N910DN","MCI","ATL",540,546,6,11,557,122,101,84,692,821,6,842,827,-15,0,0,,,,,,
2015,1,1,4,"DL",2079,"N389DA","BOS","DTW",540,537,-3,15,552,143,125,105,632,737,5,803,742,-21,0,0,,,,,,
2015,1,1,4,"EV",3268,"N14998","ATL","IAD",540,556,16,9,605,105,103,79,534,724,15,725,739,14,0,0,,,,,,
2015,1,1,4,"EV",4160,"N11150","JAX","EWR",540,531,-9,9,540,137,132,109,820,729,14,757,743,-14,0,0,,,,,,
2015,1,1,4,"OO",6285,"N962SW","MFR","DEN",540,538,-2,42,620,161,188,138,964,938,8,921,946,25,0,0,,25,0,0,0,0
2015,1,1,4,"OO",5184,"N776SK","SLC","IAH",540,537,-3,18,555,193,180,158,1195,933,4,953,937,-16,0,0,,,,,,
2015,1,1,4,"OO",6358,"N926SW","IDA","DEN",541,539,-2,30,609,104,113,72,458,721,11,725,732,7,0,0,,,,,,
2015,1,1,4,"F9",161,"N905FR","MSN","DEN",544,534,-10,7,541,145,144,128,826,649,9,709,658,-11,0,0,,,,,,
2015,1,1,4,"OO",4833,"N554CA","MKE","DTW",545,543,-2,10,553,74,55,36,237,729,9,759,738,-21,0,0,,,,,,
2015,1,1,4,"UA",1119,"N69810","GEG","DEN",545,542,-3,21,603,139,136,107,836,850,8,904,858,-6,0,0,,,,,,
2015,1,1,4,"UA",1237,"N65832","SEA","IAH",545,541,-4,13,554,251,266,238,1874,1152,15,1156,1207,11,0,0,,,,,,
2015,1,1,4,"UA",1540,"N78509","DCA","IAH",545,550,5,10,600,209,197,182,1208,802,5,814,807,-7,0,0,,,,,,
2015,1,1,4,"AA",1433,"N4YNAA","SAT","DFW",545,539,-6,12,551,65,59,41,247,632,6,650,638,-12,0,0,,,,,,
2015,1,1,4,"AA",2299,"N3LLAA","JFK","MIA",545,640,55,17,657,185,199,152,1089,929,30,850,959,69,0,0,,14,0,55,0,0
2015,1,1,4,"B6",721,"N623JB","BOS","PBI",545,551,6,16,607,205,190,170,1197,857,4,910,901,-9,0,0,,,,,,
2015,1,1,4,"B6",917,"N606JB","BOS","JFK",545,543,-2,12,555,77,66,44,187,639,10,702,649,-13,0,0,,,,,,
2015,1,1,4,"B6",939,"N794JB","JFK","BQN",545,545,0,17,602,221,202,180,1576,1002,5,1026,1007,-19,0,0,,,,,,
2015,1,1,4,"DL",1890,"N377DA","DFW","ATL",545,603,18,13,616,124,104,86,731,842,5,849,847,-2,0,0,,,,,,
2015,1,1,4,"EV",4646,"N29917","CHS","EWR",545,540,-5,26,606,116,122,91,628,737,5,741,742,1,0,0,,,,,,
2015,1,1,4,"F9",365,"N218FR","MKE","DEN",545,621,36,9,630,161,142,120,896,730,13,726,743,17,0,0,,0,0,17,0,0
2015,1,1,4,"F9",117,"N933FR","MSP","DEN",545,538,-7,15,553,129,128,104,680,637,9,654,646,-8,0,0,,,,,,
2015,1,1,4,"MQ",2926,"N932MQ","CHS","DFW",545,,,,,190,,,987,,,755,,,0,1,"B",,,,,
2015,1,1,4,"OO",2599,"N435SW","DEN","LAX",545,658,73,11,709,150,133,112,862,801,10,715,811,56,0,0,,0,0,56,0,0
2015,1,1,4,"OO",5482,"N934SW","SBA","DEN",545,542,-3,25,607,154,167,134,916,921,8,919,929,10,0,0,,,,,,
2015,1,1,4,"OO",6457,"N560SW","SMX","LAX",545,,,,,66,,,134,,,651,,,0,1,"A",,,,,
2015,1,1,4,"HA",218,"N485HA","HNL","KOA",548,540,-8,10,550,42,44,27,163,617,7,630,624,-6,0,0,,,,,,
2015,1,1,4,"B6",515,"N337JB","BOS","BUF",549,540,-9,17,557,96,99,78,395,715,4,725,719,-6,0,0,,,,,,
2015,1,1,4,"UA",228,"N439UA","PDX","EWR",550,547,-3,10,557,314,282,263,2434,1320,9,1404,1329,-35,0,0,,,,,,
2015,1,1,4,"US",641,"N650AW","IND","PHX",550,545,-5,12,557,240,249,234,1488,751,3,750,754,4,0,0,,,,,,
2015,1,1,4,"UA",495,"N548UA","LAX","DEN",550,550,0,11,601,145,136,118,862,859,7,915,906,-9,0,0,,,,,,
2015,1,1,4,"UA",507,"N808UA","CLE","IAH",550,629,39,11,640,194,198,170,1091,830,17,804,847,43,0,0,,4,0,39,0,0
2015,1,1,4,"UA",1553,"N37290","BOS","EWR",550,552,2,12,604,88,67,46,200,650,9,718,659,-19,0,0,,,,,,
2015,1,1,4,"US",403,"N660AW","DEN","PHX",550,550,0,15,605,119,109,91,602,736,3,749,739,-10,0,0,,,,,,
2015,1,1,4,"US",446,"N651AW","MCI","PHX",550,544,-6,15,559,178,179,159,1044,738,5,748,743,-5,0,0,,,,,,
2015,1,1,4,"AA",1178,"N573AA","AUS","DFW",550,548,-2,19,607,60,61,36,190,643,6,650,649,-1,0,0,,,,,,
2015,1,1,4,"AA",2410,"N3BAAA","LAX","DFW",550,600,10,17,617,180,172,150,1235,1047,5,1050,1052,2,0,0,,,,,,
2015,1,1,4,"DL",2453,"N966DL","GSP","ATL",550,550,0,26,616,59,59,28,153,644,5,649,649,0,0,0,,,,,,
2015,1,1,4,"B6",2228,"N231JB","MCO","EWR",550,548,-2,12,600,149,144,127,937,807,5,819,812,-7,0,0,,,,,,
2015,1,1,4,"EV",4555,"N13133","MCI","IAH",550,548,-2,15,603,135,138,110,643,753,13,805,806,1,0,0,,,,,,
2015,1,1,4,"EV",5698,"N835AS","BDL","IAD",550,543,-7,9,552,88,76,58,326,650,9,718,659,-19,0,0,,,,,,
2015,1,1,4,"MQ",3534,"N925MQ","ABI","DFW",550,,,,,55,,,158,,,645,,,0,1,"B",,,,,
2015,1,1,4,"EV",4339,"N14179","RIC","IAH",550,548,-2,14,602,205,220,195,1157,817,11,815,828,13,0,0,,,,,,
2015,1,1,4,"OO",6204,"N917SW","BFL","DEN",550,556,6,31,627,150,164,125,845,932,8,920,940,20,0,0,,14,0,6,0,0
2015,1,1,4,"OO",6261,"N107SY","SAT","SFO",550,557,7,9,606,249,223,198,1482,724,16,759,740,-19,0,0,,,,,,
2015,1,1,4,"OO",5160,"N794SK","OMA","IAH",550,605,15,16,621,140,146,120,781,821,10,810,831,21,0,0,,6,0,15,0,0
2015,1,1,4,"OO",6224,"N956SW","RDM","DEN",550,549,-1,12,601,143,150,130,898,911,8,913,919,6,0,0,,,,,,
2015,1,1,4,"B6",860,"N656JB","FLL","BDL",553,551,-2,10,601,166,177,162,1173,843,5,839,848,9,0,0,,,,,,
2015,1,1,4,"EV",5230,"N181PQ","CID","ATL",554,554,0,27,621,131,114,84,694,845,3,905,848,-17,0,0,,,,,,
2015,1,1,4,"WN",526,"N742SW","SFO","DEN",555,553,-2,11,604,150,150,132,967,916,7,925,923,-2,0,0,,,,,,
2015,1,1,4,"UA",1222,"N68452","MCO","LAX",555,557,2,10,607,341,343,310,2218,817,23,836,840,4,0,0,,,,,,
2015,1,1,4,"UA",1507,"N31412","TPA","EWR",555,549,-6,9,558,156,149,131,997,809,9,831,818,-13,0,0,,,,,,
2015,1,1,4,"AA",1094,"N3DXAA","SEA","DFW",555,555,0,24,619,235,251,216,1660,1155,11,1150,1206,16,0,0,,16,0,0,0,0
2015,1,1,4,"AA",1233,"N3HXAA","BOS","DFW",555,551,-4,15,606,275,269,243,1562,909,11,930,920,-10,0,0,,,,,,
2015,1,1,4,"B6",115,"N284JB","SYR","JFK",555,550,-5,27,617,83,75,43,209,700,5,718,705,-13,0,0,,,,,,
2015,1,1,4,"B6",185,"N334JB","ROC","JFK",555,550,-5,20,610,85,73,48,264,658,5,720,703,-17,0,0,,,,,,
2015,1,1,4,"EV",2519,"N905EV","TYR","DFW",555,546,-9,9,555,50,50,25,102,620,16,645,636,-9,0,0,,,,,,
2015,1,1,4,"EV",3928,"N11140","MCI","ORD",555,554,-1,19,613,94,83,58,403,711,6,729,717,-12,0,0,,,,,,
2015,1,1,4,"EV",3941,"N16561","LAN","ORD",555,555,0,27,622,69,75,39,179,601,9,604,610,6,0,0,,,,,,
2015,1,1,4,"EV",5976,"N27200","BUF","EWR",555,928,213,38,1006,80,93,48,282,1054,7,715,1101,226,0,0,,13,0,0,0,213
2015,1,1,4,"MQ",3161,"N5PBMQ","XNA","DFW",555,,,,,75,,,280,,,710,,,0,1,"B",,,,,
2015,1,1,4,"EV",5677,"N12563","GSO","EWR",556,538,-18,19,557,94,90,65,445,702,6,730,708,-22,0,0,,,,,,
2015,1,1,4,"NK",224,"N607NK","ORD","LGA",556,547,-9,16,603,124,160,92,733,835,52,900,927,27,0,0,,27,0,0,0,0
2015,1,1,4,"UA",1457,"N76529","LAX","IAH",557,555,-2,12,607,192,178,160,1379,1047,6,1109,1053,-16,0,0,,,,,,
2015,1,1,4,"AA",1205,"N3FKAA","EWR","MIA",559,552,-7,22,614,183,177,149,1085,843,6,902,849,-13,0,0,,,,,,
2015,1,1,4,"OO",5547,"N910SW","ONT","DEN",559,758,119,4,802,141,138,123,819,1105,11,920,1116,116,0,0,,0,0,0,0,116
2015,1,1,4,"UA",210,"N830UA","MSP","DEN",600,556,-4,14,610,139,120,100,680,650,6,719,656,-23,0,0,,,,,,
2015,1,1,4,"UA",214,"N454UA","PBI","IAH",600,555,-5,17,612,170,172,146,956,738,9,750,747,-3,0,0,,,,,,
2015,1,1,4,"UA",247,"N462UA","PHX","IAH",600,751,111,31,822,148,160,118,1009,1120,11,928,1131,123,0,0,,12,0,0,0,111
2015,1,1,4,"UA",256,"N464UA","RSW","IAH",600,600,0,13,613,156,155,133,861,726,9,736,735,-1,0,0,,,,,,
2015,1,1,4,"UA",319,"N498UA","EWR","MCO",600,603,3,14,617,173,152,135,937,832,3,853,835,-18,0,0,,,,,,
2015,1,1,4,"UA",374,"N415UA","OMA","ORD",600,612,12,19,631,97,79,57,416,728,3,737,731,-6,0,0,,,,,,
2015,1,1,4,"US",635,"N544UW","SMF","PHX",600,551,-9,24,615,110,131,90,647,845,17,850,902,12,0,0,,,,,,
2015,1,1,4,"US",646,"N654AW","OAK","PHX",600,558,-2,28,626,115,125,88,646,854,9,855,903,8,0,0,,,,,,
2015,1,1,4,"US",1941,"N708UW","PVD","CLT",600,555,-5,11,606,139,130,114,683,800,5,819,805,-14,0,0,,,,,,
2015,1,1,4,"UA",422,"N847UA","RNO","DEN",600,557,-3,22,619,130,147,120,804,919,5,910,924,14,0,0,,,,,,
2015,1,1,4,"UA",544,"N831UA","PIT","IAH",600,622,22,19,641,195,197,175,1117,836,3,815,839,24,0,0,,2,0,22,0,0
2015,1,1,4,"UA",1016,"N68807","DEN","IAH",600,552,-8,11,603,142,146,114,862,857,21,922,918,-4,0,0,,,,,,
2015,1,1,4,"WN",4122,"N486WN","BOS","BWI",600,556,-4,17,613,105,83,63,369,716,3,745,719,-26,0,0,,,,,,
2015,1,1,4,"WN",4822,"N293WN","LAS","BWI",600,602,2,10,612,270,243,230,2106,1302,3,1330,1305,-25,0,0,,,,,,
2015,1,1,4,"WN",2215,"N249WN","ABQ","HOU",600,607,7,29,636,120,135,103,759,919,3,900,922,22,0,0,,15,0,7,0,0
2015,1,1,4,"WN",676,"N630WN","PHX","SLC",600,601,1,9,610,95,88,76,507,726,3,735,729,-6,0,0,,,,,,
2015,1,1,4,"WN",2787,"N910WN","PIT","FLL",600,559,-1,9,608,170,145,132,994,820,4,850,824,-26,0,0,,,,,,
2015,1,1,4,"WN",4859,"N8641B","PVD","BWI",600,606,6,11,617,100,81,63,327,720,7,740,727,-13,0,0,,,,,,
2015,1,1,4,"WN",597,"N768SW","SFO","ATL",600,554,-6,9,603,280,270,253,2139,1316,8,1340,1324,-16,0,0,,,,,,
2015,1,1,4,"UA",1158,"N73445","SFO","ORD",600,557,-3,21,618,257,256,222,1846,1200,13,1217,1213,-4,0,0,,,,,,
2015,1,1,4,"UA",1163,"N24224","MCO","EWR",600,555,-5,10,605,154,141,126,937,811,5,834,816,-18,0,0,,,,,,
2015,1,1,4,"UA",1188,"N68822","PDX","IAH",600,613,13,11,624,244,242,224,1825,1208,7,1204,1215,11,0,0,,,,,,
2015,1,1,4,"UA",1198,"N38451","BOS","ORD",600,557,-3,13,610,173,165,146,867,736,6,753,742,-11,0,0,,,,,,
2015,1,1,4,"UA",1224,"N87531","SFO","LAX",600,605,5,11,616,88,72,52,337,708,9,728,717,-11,0,0,,,,,,
2015,1,1,4,"UA",1296,"N37471","SAT","LAX",600,616,16,10,626,207,188,170,1211,716,8,727,724,-3,0,0,,,,,,
2015,1,1,4,"UA",1431,"N36207","BOS","LAX",600,603,3,13,616,404,396,376,2611,932,7,944,939,-5,0,0,,,,,,
2015,1,1,4,"UA",1637,"N33294","SEA","EWR",600,606,6,10,616,311,291,268,2402,1344,13,1411,1357,-14,0,0,,,,,,
2015,1,1,4,"UA",1735,"N66814","LAX","ORD",600,607,7,13,620,250,227,201,1744,1141,13,1210,1154,-16,0,0,,,,,,
